Issue Type,Issue key,Issue id,Summary,Created,Component/s,Component/s,Labels,Labels,Labels,Labels,Labels,Status,Priority,Custom field (Epic Name),Assignee
Bug,EW-1168,854920,Smart TV - typo on expired programs and weird date from 1970,2023-08-17 14:04,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1167,854918,Smart tv - issue with the tv-guide when using pointer mode,2023-08-17 14:00,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1166,854917,Smart TV - expiration on archive ,2023-08-17 13:54,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-1164,854902,Smart TV - dash - LG 2019 Start over freezes a lot ,2023-08-17 12:33,Smart TV,,,,,,,To Do,1 - Critical,,
Bug,EW-1163,854900,Token expired wrong message ,2023-08-17 12:32,Web,,Token,,,,,To Do,3 - Medium,,
Bug,EW-1161,854890,Smart tV - undefined values in the player overlay (VOD movies),2023-08-17 12:05,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-1160,854885,Smart TV - progress bar on live tv doesn't update when a new program starts,2023-08-17 11:58,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-1158,854860,Smart TV - error message is shown,2023-08-17 10:58,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1144,854332,Smart TV - Subtitles icon doesn't work with pointer mode,2023-08-14 12:45,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1143,854305,STV - Channel page - the channels disappear,2023-08-14 11:35,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1141,854235,Smart TV - pointer mode - LG 2023 ,2023-08-14 10:05,,,,,,,,To Do,2 - High,,
Bug,EW-1140,854115,Smart TV - tv-guide should open on current time and show what is live,2023-08-11 13:40,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1135,854013,Smart TV - Movies - Actors - text is floating out of the boxes,2023-08-10 14:49,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-1134,854011,Smart TV - mine tv-kanaler - channel sorting is wrong,2023-08-10 14:39,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-1131,854002,Smart TV - recordings - program description is missing on recordings,2023-08-10 14:14,Smart TV,,,,,,,To Do,4 - Low,,
Bug,EW-1129,853975,Smart TV - Subtitles are not working - can't change language or turn off,2023-08-10 12:05,Smart TV,,,,,,,To Do,2 - High,,
Bug,EW-1128,853967,Smart TV - recordings are not being deleted,2023-08-10 11:36,Smart TV,,,,,,,To Do,3 - Medium,,
Bug,EW-1127,853959,Smart TV - Grammar on tv main page - live tv meta data,2023-08-10 11:16,Smart TV,,,,,,,To Do,3 - Medium,,
